Keyword,gsmarena.com,91mobiles.com,gadgetsnow.com,digit.in,gadgets.ndtv.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,gsmarena.com (pages),91mobiles.com (pages),gadgetsnow.com (pages),digit.in (pages),gadgets.ndtv.com (pages)
redmi note 9,3,6,11,10,8,1500000,77,0.03,1,77,https://www.gsmarena.com/xiaomi_redmi_note_9-10192.php,https://www.91mobiles.com/xiaomi-redmi-note-9-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-9,https://www.digit.in/mobile-phones/redmi-note-9-price-193891.html,https://gadgets.ndtv.com/redmi-note-9-pro-price-in-india-91742
samsung,6,15,29,42,7,1500000,90,0.03,0.99,74,https://www.gsmarena.com/samsung-phones-9.php,https://www.91mobiles.com/samsung-mobile-price-list-in-india,https://www.gadgetsnow.com/brands/Samsung,https://www.digit.in/samsung-mobile-phones/,https://gadgets.ndtv.com/mobiles/samsung-phones
vivo s1,1,5,10,21,3,1500000,53,0.1,1,88,https://www.gsmarena.com/vivo_s1-9766.php,https://www.91mobiles.com/vivo-s1-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-S1,https://www.digit.in/mobile-phones/vivo-s1-pro-price-182169.html,https://gadgets.ndtv.com/vivo-s1-12988
vivo v20,1,4,12,10,5,1500000,51,0.07,1,68,https://www.gsmarena.com/vivo_v20-10435.php,https://www.91mobiles.com/vivo-v20-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-V20,https://www.digit.in/mobile-phones/vivo-v20-price-212537.html,https://gadgets.ndtv.com/vivo-v20-2021-price-in-india-98924
mobile,11,2,22,37,4,1220000,66,0.03,1,9030000000,https://www.gsmarena.com/,https://www.91mobiles.com/,https://www.gadgetsnow.com/mobile-phones,https://www.digit.in/latest-mobile-phones/,https://gadgets.ndtv.com/mobiles/phone-finder
mobile samsung,5,2,35,7,4,1220000,72,0.04,1,75,https://www.gsmarena.com/samsung-phones-9.php,https://www.91mobiles.com/samsung-mobile-price-list-in-india,https://www.gadgetsnow.com/upcoming-mobile-phones/Samsung,https://www.digit.in/samsung-mobile-phones/,https://gadgets.ndtv.com/mobiles/samsung-price-list
poco x2,1,5,10,9,6,1220000,61,0.02,1,68400000,https://www.gsmarena.com/xiaomi_poco_x2-10050.php,https://www.91mobiles.com/xiaomi-poco-x2-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Poco-X2,https://www.digit.in/mobile-phones/poco-x2-price-193470.html,https://gadgets.ndtv.com/poco-x2-price-in-india-91470
realme 5 pro,2,7,11,20,4,1220000,63,0.02,1,69,https://www.gsmarena.com/realme_5_pro-9801.php,https://www.91mobiles.com/realme-5-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-5-Pro,https://www.digit.in/mobile-phones/realme-5-pro-price-186254.html,https://gadgets.ndtv.com/realme-5-pro-price-in-india-91003
redmi,10,8,23,19,6,1220000,75,0.01,1,63,https://www.gsmarena.com/redmi_note_10_pro_debuts_in_china_with_dimensity_1100_and_67w_charging-news-49307.php,https://www.91mobiles.com/xiaomi-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note,https://www.digit.in/mobile-phones/xiaomi-redmi-9-price-199681.html,https://gadgets.ndtv.com/mobiles/xiaomi-price-list
redmi note 9 pro max,4,6,11,9,2,1220000,61,0.04,1,61,https://www.gsmarena.com/xiaomi_redmi_note_9_pro_max-10126.php,https://www.91mobiles.com/xiaomi-redmi-note-9-pro-max-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-9-Pro-Max,https://www.digit.in/mobile-phones/redmi-note-9-pro-max-price-194513.html,https://gadgets.ndtv.com/redmi-note-9-pro-max-price-in-india-91769
vivo v19,1,5,9,8,3,1220000,54,0.07,1,92,https://www.gsmarena.com/vivo_v19-10134.php,https://www.91mobiles.com/vivo-v19-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-V19,https://www.digit.in/mobile-phones/vivo-v19-price-194527.html,https://gadgets.ndtv.com/vivo-v19-price-in-india-91764
iphone,6,37,18,61,7,1000000,70,4.01,1,83,https://www.gsmarena.com/apple-phones-48.php,https://www.91mobiles.com/apple-iphone-xi-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple,https://www.digit.in/mobile-phones/apple-iphone-12-price-193316.html,https://gadgets.ndtv.com/mobiles/apple-phones
iphone 11 pro,1,15,18,9,2,1000000,68,0.06,1,1710000000,https://www.gsmarena.com/apple_iphone_11_pro-9847.php,https://www.91mobiles.com/apple-iphone-11-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-11-Pro,https://www.digit.in/mobile-phones/apple-iphone-xi-price-177467.html,https://gadgets.ndtv.com/apple-iphone-11-pro-price-in-india-91112
jio phone 3,73,6,2,42,10,1000000,37,0.01,0.99,75600000,https://www.gsmarena.com/jiophone_3_will_go_all_touch_and_will_feature_better_hardware_all_for_usd_63-news-35390.php,https://www.91mobiles.com/hi/reliance-jio-phone-3-price-in-india,https://www.gadgetsnow.com/mobile-phones/Reliance-Jio-Phone-3,https://www.digit.in/hi/news/mobile-phones/jiophone-3-to-come-up-with-a-5-inch-display-and-big-battery-56049.html,https://gadgets.ndtv.com/jio-phone-4255
mobile phone,11,3,9,18,5,1000000,69,0.03,1,14280000000,https://www.gsmarena.com/makers.php3,https://www.91mobiles.com/,https://www.gadgetsnow.com/mobile-phones,https://www.digit.in/latest-mobile-phones/,https://gadgets.ndtv.com/mobiles/phone-finder
one plus,6,13,38,31,7,1000000,79,0.04,1,62,https://www.gsmarena.com/oneplus-phones-95.php,https://www.91mobiles.com/oneplus-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/OnePlus-7,https://www.digit.in/mobile-phones/oneplus-nord-5g-price-204889.html,https://gadgets.ndtv.com/mobiles/oneplus-phones
oppo a53,1,5,22,20,3,1000000,54,0.05,1,81,https://www.gsmarena.com/oppo_a53-10376.php,https://www.91mobiles.com/oppo-a53-2020-price-in-india,https://www.gadgetsnow.com/mobile-phones/Oppo-A53,https://www.digit.in/mobile-phones/oppo-a53-2020-price-210029.html,https://gadgets.ndtv.com/oppo-a53-2020-price-in-india-96600
oppo f15,3,6,9,8,5,1000000,60,0.16,1,82,https://www.gsmarena.com/oppo_f15-10009.php,https://www.91mobiles.com/oppo-f15-price-in-india,https://www.gadgetsnow.com/mobile-phones/OPPO-F15,https://www.digit.in/mobile-phones/oppo-f15-price-193078.html,https://gadgets.ndtv.com/oppo-f15-price-in-india-91388
pubg mobile india,33,3,41,37,5,1000000,39,0.24,0.06,46,https://www.gsmarena.com/battleground_mobile_india_to_arrive_as_an_alternative_to_pubg_mobile-news-48988.php,https://www.91mobiles.com/hub/pubg-mobile-india-download-release-date-update/,https://www.gadgetsnow.com/slideshows/pubg-returns-with-battlegrounds-mobile-india-registrations-starts-from-may-18-all-details/photolist/82698706.cms,https://www.digit.in/features/gaming/pubg-mobile-india-comeback-your-common-questions-answered-57298.html,https://gadgets.ndtv.com/games/news/pubg-mobile-battlegrounds-india-erangel-erangle-map-teaser-differently-spelling-krafton-pre-registrations-2448213
realme c2,4,5,9,13,2,1000000,56,0.01,1,71,https://www.gsmarena.com/realme_c2-9670.php,https://www.91mobiles.com/realme-c2-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-C2,https://www.digit.in/mobile-phones/realme-c2-price-181497.html,https://gadgets.ndtv.com/realme-c2-13026
realme c3,2,5,10,17,3,1000000,62,0.02,1,75,https://www.gsmarena.com/realme_c3-10056.php,https://www.91mobiles.com/realme-c3-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-C3,https://www.digit.in/mobile-phones/realme-c3-price-193498.html,https://gadgets.ndtv.com/realme-c3-price-in-india-91480
redmi 8,2,8,10,7,5,1000000,63,1.39,1,82,https://www.gsmarena.com/xiaomi_redmi_8-9800.php,https://www.91mobiles.com/xiaomi-redmi-8-64gb-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-8-64GB,https://www.digit.in/mobile-phones/xiaomi-redmi-8-price-186394.html,https://gadgets.ndtv.com/redmi-8-price-in-india-91006
vivo mobile,6,3,35,10,2,1000000,63,0.11,1,89,https://www.gsmarena.com/vivo-phones-98.php,https://www.91mobiles.com/vivo-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/filters/brand=Vivo&price-range=30001-to-40000,https://www.digit.in/vivo-mobile-phones/,https://gadgets.ndtv.com/mobiles/vivo-price-list
whatsapp status,89,47,43,83,26,1000000,49,0.04,0.02,1400000000,https://www.gsmarena.com/share_whatsapp_status_to_facebook_story-news-39288.php,https://www.91mobiles.com/hub/whatsapp-status-video-download-how-to-download-whatsapp-status-videos-on-android-and-ios-mobiles/,https://www.gadgetsnow.com/tech-news/whatsapp-puts-privacy-as-status-to-reach-out-to-users/articleshow/80312328.cms,https://www.digit.in/news/apps/heres-how-you-can-view-a-users-whatsapp-status-without-them-ever-finding-out-57474.html,https://gadgets.ndtv.com/tags/whatsapp-status
1 plus,3,20,12,17,6,823000,66,0.02,1,9080000000,https://www.gsmarena.com/oneplus-phones-95.php,https://www.91mobiles.com/oneplus-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Nokia-1-Plus,https://www.digit.in/oneplus-mobile-phones/,https://gadgets.ndtv.com/oneplus-one-1554
iphone se,4,7,9,22,2,823000,73,3.12,1,3540000000,https://www.gsmarena.com/apple_iphone_se-7969.php,https://www.91mobiles.com/apple-iphone-se-2020-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-SE,https://www.digit.in/mobile-phones/apple-iphone-se-2020-price-195929.html,https://gadgets.ndtv.com/apple-iphone-se-2020-price-in-india-91195
oppo mobile,6,2,29,8,3,823000,61,0.41,1,77,https://www.gsmarena.com/oppo-phones-82.php,https://www.91mobiles.com/oppo-mobile-price-list-in-india,https://www.gadgetsnow.com/upcoming-mobile-phones/OPPO,https://www.digit.in/oppo-mobile-phones/,https://gadgets.ndtv.com/mobiles/oppo-price-list
redmi 9,2,7,14,9,3,823000,62,0.43,1,71,https://www.gsmarena.com/xiaomi_redmi_9-10233.php,https://www.91mobiles.com/xiaomi-redmi-9-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-9,https://www.digit.in/mobile-phones/xiaomi-redmi-9-price-199681.html,https://gadgets.ndtv.com/redmi-9-price-in-india-96606
redmi note 7 pro,3,5,7,14,2,823000,63,0.06,1,65,https://www.gsmarena.com/xiaomi_redmi_note_7_pro-9521.php,https://www.91mobiles.com/xiaomi-redmi-note-7-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-7-Pro,https://www.digit.in/mobile-phones/xiaomi-redmi-note-7-pro-price-177761.html,https://gadgets.ndtv.com/redmi-note-7-pro-price-in-india-11984
vivo s1 pro,1,5,12,24,2,823000,52,0.05,1,90,https://www.gsmarena.com/vivo_s1_pro-9972.php,https://www.91mobiles.com/vivo-s1-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-S1-Pro,https://www.digit.in/mobile-phones/vivo-s1-pro-price-182169.html,https://gadgets.ndtv.com/vivo-s1-pro-price-in-india-91297
vivo y 15,2,3,8,11,1,823000,50,0.07,1,92,https://www.gsmarena.com/vivo_y15-9719.php,https://www.91mobiles.com/vivo-y15-2019-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Y15-2019,https://www.digit.in/mobile-phones/vivo-y15-price-4621.html,https://gadgets.ndtv.com/vivo-y15-2019-price-in-india-13074
vivo y15,3,4,8,11,1,823000,51,0.07,1,92,https://www.gsmarena.com/vivo_y15-9719.php,https://www.91mobiles.com/vivo-y15-2019-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Y15-2019,https://www.digit.in/mobile-phones/vivo-y15-price-4621.html,https://gadgets.ndtv.com/vivo-y15-2019-price-in-india-13074
iphone x,1,7,9,14,3,673000,70,0.1,1,3500000000,https://www.gsmarena.com/apple_iphone_x-8858.php,https://www.91mobiles.com/apple-iphone-x-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-X,https://www.digit.in/mobile-phones/iphonex-256gb-price-128137.html,https://gadgets.ndtv.com/apple-iphone-x-4258
iphone xr,2,7,22,12,3,673000,63,0.1,1,433000000,https://www.gsmarena.com/apple_iphone_xr-9320.php,https://www.91mobiles.com/apple-iphone-xr-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-XR,https://www.digit.in/mobile-phones/apple-iphone-xr-price-137189.html,https://gadgets.ndtv.com/apple-iphone-xr-5647
lenovo,13,12,22,39,6,673000,83,2.55,1,76,https://www.gsmarena.com/lenovo_pad_pro_unveiled_with_115_90_hz_oled_display_pad_plus_and_vanilla_models_follow-news-49298.php,https://www.91mobiles.com/lenovo-laptops-price-list-in-india,https://www.gadgetsnow.com/laptops/Lenovo,https://www.digit.in/lenovo-mobile-phones/,https://gadgets.ndtv.com/laptops/lenovo-laptops
mi note 7,3,6,8,9,2,673000,57,0.02,1,81,https://www.gsmarena.com/xiaomi_redmi_note_7-9513.php,https://www.91mobiles.com/xiaomi-redmi-note-7-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-7,https://www.digit.in/mobile-phones/xiaomi-redmi-note-7-price-177649.html,https://gadgets.ndtv.com/redmi-note-7-price-in-india-8948
mi note 9 pro,4,3,17,8,7,673000,62,0.02,1,71,https://www.gsmarena.com/xiaomi_redmi_note_9_pro-10217.php,https://www.91mobiles.com/xiaomi-redmi-note-9-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-9-Pro,https://www.digit.in/mobile-phones/redmi-note-9-pro-128gb6gbram-price-194611.html,https://gadgets.ndtv.com/redmi-note-9-pro-price-in-india-91742
oppo a31,3,6,9,14,2,673000,49,0.08,1,84,https://www.gsmarena.com/oppo_a31-10083.php,https://www.91mobiles.com/oppo-a31-2020-price-in-india,https://www.gadgetsnow.com/mobile-phones/OPPO-A31-2020,https://www.digit.in/mobile-phones/oppo-a31-2020-price-194031.html,https://gadgets.ndtv.com/oppo-a31-2020-price-in-india-91617
oppo f11 pro,4,7,9,11,2,673000,57,0.03,1,76,https://www.gsmarena.com/oppo_f11_pro-9566.php,https://www.91mobiles.com/oppo-f11-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/OPPO-F11-Pro,https://www.digit.in/mobile-phones/oppo-f11-pro-price-178783.html,https://gadgets.ndtv.com/oppo-f11-pro-price-in-india-12086
oppo f17,4,7,12,22,2,673000,57,0.13,1,77,https://www.gsmarena.com/oppo_f17-10413.php,https://www.91mobiles.com/oppo-f17-price-in-india,https://www.gadgetsnow.com/mobile-phones/OPPO-F17,https://www.digit.in/mobile-phones/oppo-f17-pro-price-210548.html,https://gadgets.ndtv.com/oppo-f17-price-in-india-96748
pixel,10,18,48,14,8,673000,76,0.24,0.08,1220000000,https://www.gsmarena.com/google_pixel-8346.php,https://www.91mobiles.com/hub/google-pixel-6-renders-design-exclusive/,https://www.gadgetsnow.com/mobile-phones/Nokia-Pixel,https://www.digit.in/news/mobile-phones/exclusive-google-pixel-6-pro-rednders-leak-display-design-camera-59483.html,https://gadgets.ndtv.com/google-pixel-3811
poco x3,2,4,11,9,7,673000,53,0.03,1,87,https://www.gsmarena.com/xiaomi_poco_x3-10461.php,https://www.91mobiles.com/xiaomi-poco-x3-price-in-india,https://www.gadgetsnow.com/mobile-phones/Poco-X3,https://www.digit.in/mobile-phones/poco-x3-price-212593.html,https://gadgets.ndtv.com/poco-x3-pro-price-in-india-100518
realme 5i,2,6,8,7,4,673000,55,0.01,1,73,https://www.gsmarena.com/realme_5i-10010.php,https://www.91mobiles.com/realme-5i-price-in-india,https://www.gadgetsnow.com/mobile-phones/Realme-5i,https://www.digit.in/mobile-phones/realme-5i-price-193050.html,https://gadgets.ndtv.com/realme-5i-price-in-india-91385
redmi 9 prime,4,7,18,8,3,673000,63,0.03,1,73,https://www.gsmarena.com/xiaomi_redmi_9_prime-10353.php,https://www.91mobiles.com/xiaomi-redmi-9-prime-price-in-india,https://shop.gadgetsnow.com/smartphones/redmi-9-prime-space-blue-64gb-4gb-ram-/10021/p_G177716,https://www.digit.in/mobile-phones/redmi-9-prime-price-208655.html,https://gadgets.ndtv.com/xiaomi-redmi-9-prime-price-in-india-96358
samsung mobile,7,3,16,10,5,673000,72,0.02,1,79,https://www.gsmarena.com/samsung-phones-9.php,https://www.91mobiles.com/samsung-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Samsung,https://www.digit.in/samsung-mobile-phones/,https://gadgets.ndtv.com/mobiles/samsung-price-list
vivo y91,2,6,5,10,1,673000,46,0.01,1,5480000,https://www.gsmarena.com/vivo_y91-9480.php,https://www.91mobiles.com/vivo-y91-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Y91,https://www.digit.in/mobile-phones/vivo-y91-price-177663.html,https://gadgets.ndtv.com/vivo-y91-8952
vivo z1 pro,2,6,7,8,1,673000,55,0.07,1,69,https://www.gsmarena.com/vivo_z1pro-9743.php,https://www.91mobiles.com/vivo-z1-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Vivo-Z1-Pro,https://www.digit.in/mobile-phones/vivo-z1-pro-price-183825.html,https://gadgets.ndtv.com/vivo-z1-pro-price-in-india-13166
i phones,5,6,18,8,2,550000,61,3.07,1,10570000000,https://www.gsmarena.com/apple-phones-48.php,https://www.91mobiles.com/apple-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Apple,https://www.digit.in/apple-mobile-phones/,https://gadgets.ndtv.com/mobiles/apple-price-list
infinix hot 8,1,8,9,12,3,550000,48,0.03,1,87,https://www.gsmarena.com/infinix_hot_8-9856.php,https://www.91mobiles.com/infinix-hot-8-price-in-india,https://www.gadgetsnow.com/mobile-phones/Infinix-Hot-8,https://www.digit.in/mobile-phones/infinix-hot-8-price-187234.html,https://gadgets.ndtv.com/infinix-hot-8-price-in-india-91080
iphone 12 pro,3,17,10,62,4,550000,70,1.94,1,100,https://www.gsmarena.com/apple_iphone_12_pro-10508.php,https://www.91mobiles.com/apple-iphone-12-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-12-Pro,https://www.digit.in/mobile-phones/apple-iphone-12-pro-max-price-199849.html,https://gadgets.ndtv.com/iphone-12-pro-price-in-india-97687
iphone 7,1,6,9,16,3,550000,70,0.03,1,3740000000,https://www.gsmarena.com/apple_iphone_7-8064.php,https://www.91mobiles.com/apple-iphone-7-price-in-india,https://www.gadgetsnow.com/mobile-phones/Apple-iPhone-7,https://www.digit.in/mobile-phones/apple-iphone-7-price-42276.html,https://gadgets.ndtv.com/apple-iphone-7-3766
mi mobile,9,2,26,12,4,550000,70,0.02,1,70,https://www.gsmarena.com/xiaomi-phones-80.php,https://www.91mobiles.com/xiaomi-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Mi-10,https://www.digit.in/xiaomi-mobile-phones/,https://gadgets.ndtv.com/mobiles/xiaomi-price-list
mi note 8 pro,2,5,9,11,3,550000,63,0.28,1,76,https://www.gsmarena.com/xiaomi_redmi_note_8_pro-9812.php,https://www.91mobiles.com/xiaomi-redmi-note-8-pro-price-in-india,https://www.gadgetsnow.com/mobile-phones/Xiaomi-Redmi-Note-8-Pro,https://www.digit.in/mobile-phones/xiaomi-redmi-note-8-pro-price-186702.html,https://gadgets.ndtv.com/redmi-note-8-pro-price-in-india-91031
new mobile,14,3,30,4,1,550000,63,0.11,1,6560000000,https://www.gsmarena.com/,https://www.91mobiles.com/latest-mobiles-in-india,https://www.gadgetsnow.com/mobiles,https://www.digit.in/latest-mobile-phones/,https://gadgets.ndtv.com/mobiles/latest-phones
nokia,5,12,28,38,4,550000,87,0.07,0.99,85,https://www.gsmarena.com/nokia-phones-1.php,https://www.91mobiles.com/nokia-mobile-price-list-in-india,https://www.gadgetsnow.com/mobile-phones/Nokia,https://www.digit.in/nokia-mobile-phones/,https://gadgets.ndtv.com/mobiles/nokia-phones
one plus 7t,3,6,7,26,4,550000,67,0.07,1,75,https://www.gsmarena.com/oneplus_7t-9816.php,https://www.91mobiles.com/oneplus-7t-price-in-india,https://www.gadgetsnow.com/mobile-phones/OnePlus-7T,https://www.digit.in/mobile-phones/oneplus-7-128gb-price-182379.html,https://gadgets.ndtv.com/oneplus-7t-price-in-india-91057
oneplus 7t,2,5,7,9,3,550000,67,0.07,1,80,https://www.gsmarena.com/oneplus_7t-9816.php,https://www.91mobiles.com/oneplus-7t-price-in-india,https://www.gadgetsnow.com/mobile-phones/OnePlus-7T,https://www.digit.in/mobile-phones/oneplus-7t-price-186590.html,https://gadgets.ndtv.com/oneplus-7t-price-in-india-91057
phone,15,4,18,55,6,550000,70,0.08,1,5010000000,https://www.gsmarena.com/samsung-phones-9.php,https://www.91mobiles.com/,https://www.gadgetsnow.com/mobile-phones,https://www.digit.in/latest-mobile-phones/,https://gadgets.ndtv.com/mobiles/phone-finder
poco m2,2,6,10,9,3,550000,53,0.01,1,71,https://www.gsmarena.com/xiaomi_poco_m2-10434.php,https://www.91mobiles.com/xiaomi-poco-m2-price-in-india,https://www.gadgetsnow.com/mobile-phones/Poco-M2,https://www.digit.in/mobile-phones/poco-m2-price-211767.html,https://gadgets.ndtv.com/poco-m2-price-in-india-96921
